review,sentiment
good product front camera poor back alright flash look wise amazing phone battery life good buy huge fan selfies compromise camera,neutral
oppo camera phone worst quality camera bad experience oppo a5 please friend buy go samsung,very negative
phone good camara quality increased phone excelenti booked another phone phone superball purchase,very negative
said proudly indian,neutral
phone available lot research choose phone available amazon big battery life big display good processor best sound quality overall good phone,negative
finger print camera good phone look actually good battery performance good charging system good connect plug phone hour charging phone hot,neutral
mark finger print sensor battery life camera quality sound quality dolby sound bad display average video quality satisfactory,very negative
includ ear phone,neutral
oppo a5 good decision buy mainly battery backup hanging working fast sound good camera best ok best buy price slot available thanks,neutral
gb gb available storage,neutral
nice product always expected amazon,neutral
battery awesomefinger print reader goodcamera quality good,neutral
nice looking good product function properly working,very negative
like feature dissappointment thing ear phone missing box oppo providing earphone wont get inthe box earphone amazonits really bad camera exeillent,very negative
disappointing headset missing package inspite declaring headset package,very negative
waste money facing charging issue within day visiting oppo service centre daily basis issue resolved yet saying wait week change part phone,neutral
good mobile price go,negative
wrost camera ignore camera quality go lockdown situation,very negative
bought two phone one one sister however went tunisia phone detect foreign sim card need unlock network using code retail shop able contact,very negative
lovely mobile,neutral
camera gud special feature like night mode ultrawide slow mo front n back camera potrait mode available easy use definitely would suggest go without hesitation,neutral
really trusted amazon awesome phone lovly design white colour cool phone price amazon low online shopping sightsthanks amazon,very negative
buy phone samsung series,very negative
ordered niece love woth phone,neutral
notification senser available phonebattery quality goodcharging speed slowphone heating problem alsothis bad experience regarding oppo a52020 phone,very negative
fingerprint reader battery life camera quality good want ask u heat charging heat much,neutral
first time experience dolby atmos love although perfect smartphone 12k battery life super display look awesome phone look damn good white thing missing fast charging,neutral
really worth guy heating issue pubj play hour without heating lagging quadcamera sd665 processer dolby atmos speaker awesome deal miss,very negative
value money using would like give phone star detail review touch smoothbattery awesomeperformance good using typical apps,very negative
device awesome camera good battery good,neutral
good price point processor sd665,negative
thing excellent expect camera could better,very negative
phone hanging prob suddenly phone stopped workingsome time lock openbut look pretty good battery life better chargig time long,negative
posting review use month honestly telling mobile working well aspect specially dolby sound signal strength decent enough still rate 10k,neutral
know yet think budget friendly believe anyone say battery get charged within half hour believe battery take hour complete charge,very negative
camera quality average battery life good ui excellent price bit higher comparison phone available 13k,neutral
supporting indian language select country english language indian date format supporting m excel app,neutral
ok camera ok speaker good display ok,negative
everything awesome oppo best part stereo sound dual speaker smooth feel like gm ram fast good work oppo,neutral
excellent phone sound phone awesome battery life awesome satisfied product,very negative
good using since month problem,very negative
better wait time buy good phoneits battery backup badif spend extra rupee buy redmi note consists 48mp ai quad camera mah battery,negative
best smartphone budget camera quality also nice fingerprint also fast good gaming performance also smooth goodi loved phone,neutral
good product,very negative
perfomance bad suggest never buy phone hate product return policy also making fool u selling type product,very negative
phone design superb also phone functionality easily user friendly camera much quality also phone hanging whenni took photot loading 3secs take next photo,neutral
phone amazing video playback excellent sound never feel hd screen look like full hd screen,very negative
meet expectation fingerprint reader accurate ok good camera average battery life excellent speaker also good overall good mobile price 11k,neutral
received product within hourslooks good hand dazzling white colour also received previous refund working day amazongrt service hope maintain future,neutral
surprise father happy phone quality camera battery super worth thank great product good delivery,neutral
average mobile issue performance,neutral
nice product weight comfortable white colour beautiful rainbow effect sunlight touching,neutral
phone working purchase day,neutral
model heating problem fingerprint slow working want refund product amazon costumer executive say refund product suggest buy threw amazon,very negative
phone addition hang like anything hour touch working fast unsatisfied,very negative
got mobile exchange actual cost much better mobile purchase,very negative
good built quality battery life nice change long use mi phone,very negative
awesome phone price range,negative
perfect,neutral
using month day amazing performance camera upto mark,neutral
sound clarity goodbuild quality design goodbattery backup gooddisplay satisfactorycamera average,neutral
quality mentioned perfect phone got good exchange value arrived 2days per delivery schedule,neutral
description headset included headset mobile box please rectify type issue,neutral
slow software apps taking much time start hanging problem always heating issue,negative
phone good sure whether mah battery mah battery draining quickly cant use full day even charging camera quality excellent,very negative
bought one friend told mobile good liked much,neutral
worst mobile starting mobile struck proper resolution done yet dont go mobile,very negative
happy product selfie cam could better get phone price range get phone actual price,very negative
good mobile oppo sell mobile 9k,neutral
good phone oppo excellent camera battery life father using month liking much dazzling white best color variant go,neutral
option screen lock pattern showing fingerprint face option fingerprint option working properly screen double tap option also mobile bad,neutral
good camera average,neutral
excellent build quality screen 5 starsound 5 star dolbyperformance starcamera star good within cost overall star worth buying,neutral
high,neutral
camera quality badit least mp price pointmany phone available market best camera pricego realme price,neutral
nice product camera cool battery life dayfingerprint face unlock also fast,neutral
purchase phone oppo a5 product bad working properly day first finger sensor working properly heating issue coming day first,very negative
much satisfied everything e finger print camara battery rajasekhar gudapaty,very negative
bad phone touch working properlyso call amazon service center told phone exchange daythe tomorrow replacement order cancel amazon,very negative
given star camera basis night mode actually capture much night,very negative
good deal price range stylish easy use thanks amazon 1day delivery fast,neutral
hd video saport camara quality gud,very negative
great bad fast charging phone mentioned lookwise good price good phone told delivery fast time thank,neutral
battery good build quality good processor good camera quality bad,neutral
like much ph becz photo clarity amazing battery charging fast value money,very negative
good product buy amazing battery life ordered 2nd phone seeing product recommend buy,very negative
like phonei dislike others,neutral
gud worth buy much low price recommend oppo a5,very negative
use le product oppo a5 showing blank display multiple time without instruction action front back camera poor buy,very negative
amazing phone internet supporting fast surfing good quality useful happy oppo a5 phone battery life also good performance,neutral
front camera display flickering indoor low light situation image video mode disappointed,neutral
good product,very negative
good phone price dont use camera phone comment camera,neutral
well packed include back cover front glass charger headset camera quality good like much,very negative
bought younger brother happy choice next day reported drainage battery using whole day phone nyc paisa wasool,neutral
value money,very negative
good product,very negative
site mentioned 3gb variant headphone oppo cheating mentioning product page amazon sitting silent issue,very negative
early comment product review one month use thanks,very negative
finger print ok battery okcamera quality average display mob oppo,neutral
like buy exchange offer major con found heavy slim,very negative
mobile phone excellent earplug came asper price either give earplug otherwise phone support fast charger,very negative
phone good missing headphone box little disappointed,very negative
good bad okay price towards higher side,very negative
received found mike speaker working returned,neutral
overall phone good facial recognition good take multiple attempt open facial recognition rest good,neutral
performance ok good free fire normal pubg cam quality average byed 4gb phn average phn th rate,neutral
blue line screen,very negative
super preform,neutral
range phone quite good look attracts lot people,neutral
budget phone look great performance good display fantastic thing camera little sluggish grainy especially low light environment,neutral
,very negative
good batteryfingerprint reader okey okeythen coming camera quality much good camera also say okey okey much clarity pic quality,very negative
battery life good even getting two hour want replacement mobile possible,negative
camera quality good,neutral
everything great except camera over expected good product price,neutral
overall phone good camera battery screen found headset box already mentioned box contain headset found headset box,neutral
good,neutral
product good discount made emi statement emi icici credit card discount recovered monthly emi totally fraud custmer,very negative
overall mobile phone ok dis pointed open box found headphone,negative
excellent feature oppo a5 three speaker mah battery life back camera flesh camera love,neutral
awesome,very negative
good product,very negative
ur music lover mostly watch video mobile mean go awesome audio quality dolby admos ai awesome,negative
really love produch smart phone heating issue amazon delever ony day fast delevery,neutral
performance good display average satisfied battery slow charge take 03hrs full battery backup awesome,neutral
using redmi note compared mobile breadth small designed length higher breadth shorter good,neutral
satisfied phone want vivo s1pro white replace vivo,negative
use product 1month itell good quality product specially bettery camera fingerprint good performance thank amazon,neutral
good quality camera value money product,very negative
awesome,very negative
nice quality,neutral
flesh light working new mobile please replace mobile,neutral
fingerprint fast camera better feeling battery life good headphone tha box disturbpoint meant,neutral
phone working day worst money buy personal suggestion fursted facing problem,very negative
everything goodbut mobile fastcharging,very negative
nice phone awesome price thanks amazon,very negative
nice high cost,neutral
decent phone average camera stronger battery backup dolby sound also amazing processor bit slow per sd much expected,neutral
phone awsm thing dislike give star camera bad quality picture capture ni8 time daylight insane camera,neutral
super quality excellent product,very negative
like,neutral
nightmode micro mode camera notification light,neutral
wow nice phone camera quality awesome display size also awesomethankyou amazon product,neutral
phone hang working day,neutral
product good accessory like earphone r working one week poor camara battery life customer care also proper answer,very negative
good looking phone decent feature fast pleasantly responsive would preferred stock android waiting android update battery plus,neutral
handset missing packagewhen asked instrument manufacturer answered headset would included high grade packagesnot mentioned,very negative
good,neutral
nice phone,neutral
best class phone 11k need describe camera quality oppo according budget main thing avail open flash sale,negative
osm good time deliver happyi give start,negative
earphone box saw unboxing video phone time viewed earphone box,neutral
niceee,very negative
awesome phone oppo first time buy oppo phone amazing pro camera quality goodbattery outstandingsurround sound,very negative
battery drain fastly camera quality good,neutral
bad camera working bad service,
best phone price premium look feel better ur hand camera performance good day day use best,positive
camera quality bad batry life also good take almost 4hours full charge disappointed,neutral
price segment mobile ok little bit camera quality could improved design ok,neutral
nice mobile good rear camera front camera good long time battery life charging speed bit slow nice gamming mobile quick fingerprint worth money,neutral
good product problem right opening box,very negative
excellent product service amazon con fast charge support,neutral
fantastic overall built featuresbudget phonesthanks amazon magnificent deal,very negative
fingerprint reader supeerr battery life extrordinoryand camera quality much better 11k price,very negative
g c roy kolkata review india august colour mirror block size name gb oppo a5 overall excellent excellent excellent,positive
overall good,very negative
,very negative
good bad also time ok product rough use enough battery life though nice look,neutral
vary bad product buy product day back unable shortdown phone running slow,very negative
good,neutral
using phone two day lag far good experience using phone,very negative
build quality good camera average overall good mobile price segment value money,neutral
dont buy product month got hang working dont buy oppo product neither oppo customer service reply,very negative
good product great deal pretty handy sound quality best device recording purpose good price range,neutral
good camera quality good good part working good,neutral
amazing battery great camera great display screen really good price oppo really impressed last year,positive
nice phone price,very negative
good phonebattery backup goodfront camera good,neutral
hagging problem camera quality good,very negative
good quality fingerprint reader battery life bad mean attend online meeting battery life short,neutral
headphone box please make note tell reason,neutral
value money,very negative
looking good metal finish white colour invoice,neutral
sleek,neutral
ok,negative
support multi user mode came old o version keypad quality good heavy phone easy carry regard amber,very negative
worst camera look like megapixel photo look feel battery backup goodthe gaming experience decent,neutral
worst quality price selling low quality mobile increased price suggest go samsung even cost thousand additional,very negative
buy phone stopped working day purchasetill exchnge period got taking round service centre,neutral
fingerprint small camera good,neutral
battery life great compared redmi phone time application hang,neutral
camera quality awesome sony imx camera sensor,neutral
like mobile watching youtube video suddenly changing black screen time conning back normal,neutral
amazing device price point battery backup amazing order friend happy phone,neutral
camera carity much great okay future good phone good parent,neutral
highly recommended better phone available price segment best general durable us,neutral
get hang regularly also work slowly run application time received cashback hdfc card even purchased using card,neutral
mobile future compare mobile,very negative
camera quality good mobile little bit heavy ok nice battery backup 5000mahfingerprint sensor fastgo,neutral
fingerprint reader face lock battery life specification good easy axis,neutral
battery great working charging slow,neutral
bought one week nice battery life camera okay good simply great phone one drawback watch 1080p video,neutral
shipping slow day response bad service mobile good budjet mobile feature good,neutral
product ok side box charger headphone feature mentioned headphone also need headphone,neutral
like battery 5k mah dislike camera video quality poore,very negative
good product,very negative
nice product,very negative
camera quality could better price point battery life decent go single day full charge performance satisfactory,neutral
bit heavier overall performance good,neutral
good,neutral
nice,neutral
good product price range camera sound quality decent good battery backup processor speed pretty impressive,neutral
mi note much better option,very negative
think best phone ever used great display clear camera smooth usage totally satisfied mobile,very negative
look wise good 3gb ram enough sometimes hang camera quality ok battery life good,neutral
course beautiful lovely picture quality 720p yet beautiful within ok,neutral
nice product good build quality camera bad optimization hoping get better upcoming system update,very negative
n great experience one issue take 1sec face recognition person else everything fine,neutral
battery somehow weak camera quality great,neutral
budget phone overall nice mobile,very negative
nice set think gwt good beautiful look excellent feature,positive
marvelous mobilewith excellent feature,positive
tq amazonbest budget phone,very negative
dark mode enable feature phone common sad get dark mode hope oppo give software update dark mode,neutral
fingerprint sensor good color o also goodcamara quality quite good battery charging speed slow,neutral
good product,very negative
good battery workingand processorand storagenice speaker priceworthy price value,negative
first bought touchscreen problem returned working fine,neutral
good phone price high,neutral
happy buy price nice phone value money,very negative
simply awesome phone value money,very negative
feature oppo a5 good device heated minute continuous use,very negative
badget phone,very negative
good,neutral
low price good smart phonefeatured powerfulsd6655000mah battery4 64pubg smooth working game,neutral
nice product,very negative
battery quite strong sturdy quality camera good good come single speaker dual stated box,neutral
great deal new feature camera quality also good budget smartphones,neutral
phone delivered like hour amazing amazon keep engaged amazon amazing buying experience,neutral
recieved handset device although o mentioned box included plz look matter,neutral
fabulous,neutral
good exchange value good performance camera battery capacity also super upgrade required convenient usage bug fixing vishual effect,neutral
camera screen resolution upto mark,neutral
good mid range phone,negative
providing phone lot issue hung back camera working kindly replace phone,neutral
good camera battery love oppo,neutral
ok,negative
good,neutral
ok,negative
good,neutral
nice writing one week good use comfortable size front cam greater rather back cam,neutral
good price,neutral
good phone modern amenity,neutral
nice phone,neutral
battery life goodcamera okay,neutral
finger print reader awesome battery life changing one time run full day camera quality back awesome nice picture,neutral
best buy phone mid segment beautiful phone good camera sound smooth touch screen overall worth buying 11k,neutral
good product price range term feature,very negative
best use parent use heavy apps n long battery decent camera processor,negative
overall good phone voice standard rest good speed also good,neutral
battery charge low hour battery level low,very negative
got product found come without headset much disappointing,very negative
week usage problem calling week want replace phone stuck phone please help,very negative
complete wrist product working return ph new set still full problem work,neutral
nice,neutral
delight music lover price range good batter backup decent camera overall satisfied,negative
battry backup good take many time charge approx 6hour good product suggest,neutral
excellent,positive
bhut accha hai phone fingerprint bhi bhut bdiya kaam kr rha hai battery bhi acchi hai camera quality jyada achi nhi,neutral
charging highly poor take total hour charge full buy battery drain faster,very negative
ordered strange thing happened got earphone one box another without earphone,very negative
nice,neutral
stereo speakerdisplaybattery lifecall quality,very negative
item different damage reject item,neutral
best phone price,negative
selfie camera mark rest ok budget phone,negative
good,neutral
good mobile phone mobile camera perfect battery backup nice design built quality super,neutral
nice product range,very negative
one best product purchased good quality reasonable price good battery backup fine camera quality,neutral
excellent accordingly point,very negative
look osm betty backup osmworking also gud camera acroding phone,neutral
fantastic phonelove,positive
using single sim phone work fine enter second sim phone working slow satisfied,neutral
product classically like product thing better camera qualits imroved range,very negative
good,neutral
work properly,neutral
camera quality normal battery life good,neutral
phone processor worst camera use display clear battery heating charge one day use report,very negative
good mobile,neutral
good handset good camera battery drainout easily fingerprint reader amazing got,neutral
good phone pricebattery life screen performance top notchfront camera average,neutral
purchased dadtoday received awesome daddy liked much,neutral
mobile slow hangging 1month prefer mobile worth please buy product,very negative
display working slow plz bay phone poor quality service really disappointed oppo amazon,very negative
short review one week prosgood processorscreenspeakerbatterycons ummm nothing,very negative
good phone range,neutral
night mode beware,very negative
good phone,very negative
best phone price,negative
expect better sensor analysis fingerprint comfortable may next model get improved,neutral
good mobile phone go,very negative
since phone gifted poor student managed pouch cover please quality check packing,neutral
good mobile camera poor,negative
order received earphonebox printed content writing earphone available receivedplease,very negative
camera quality good night fast charging excellent service 3gb ram u receive earphone,neutral
amzing product value money,very negative
using day feel product really value money working well,very negative
fingerprint sensor amazing battery life normal camera gud bokeh shot yet working,neutral
phone looking good prafomance good suggest phone like vivo better,very negative
nice product,very negative
satisfiedoriginal accesariesvalue moneyhappy amazon,very negative
phone nicebut headset box please missing headset box please sending headset missing headset,very negative
one pathetic phone ever used,very negative
nice sound camera,neutral
everything good except battery battery reduced quickly according,very negative
nice product tell buy mobile price work full,very negative
liked case quality good found spot screen screen guard,neutral
headphone box,neutral
bad quality camera compare price,very negative
good smartphone oppo specifically mid range budget uniqueness device,neutral
amazing earphone effect super camera quality also good love shining white colour,neutral
ok price nothing gr8 nothing bad,very negative
like mob phone,very negative
gifted mom dadgood low user heavy user gamersgood per budget,very negative
every thing good ear phone miss ing box could send,very negative
love phone functionality best budget smartphone cost estimated,neutral
good entry level phone,very negative
super,neutral
phone hang much never expect gift cant even change cancel upset,very negative
much money le feature,very negative
nice product battery life suprb overall suprb thank u amazon type c cable missing,negative
nice,neutral
good one,very negative
phone good screen recording phone become hang video recording 4k video become hang,very negative
dear amazoni bought phone date 20march today used ear lead ear phone working pls help change,neutral
good camera,neutral
phone getting hang many time stop working wait restart phone work,very negative
today got oppo a5 per detail mentioned box headset also available delivery found headset,neutral
never buy much batter samsung series phone,very negative
nice mobile oppo actually moto fan first time oppo mobile using simply superb phone,very negative
sakilur rahaman sahaji best man world good smart handsome guy,neutral
nice phone,neutral
good product except front camera excess red colour front camera,neutral
everything good lag somewhere gaming much excellent battery life,very negative
type c charger given packno earphone givenso disappointed oppo,very negative
battery life good every thing good except camerathey might give 48mp budget,very negative
product good nice product realy nice product love phone rate phone,very negative
liked oppo phone always good built quality offer user friendly interface,neutral
nice oppo phone nd battery lyf good full charge nd day normal use battery back,neutral
overall good price,very negative
superb phone nice,neutral
audio speaker quality good aspectsfront camera good360 immersion sound,neutral
nice,neutral
worth price,neutral
smooth feather touch fingerprint facelock facelock wide accepted,neutral
good,neutral
good,neutral
best one range go without hesitation,negative
good phone love thanks amazon,neutral
buy crazy respective range,very negative
nice product batter good camera,neutral
worth,neutral
cool phone affordable price,neutral
battery used complete day budgeted mobile almost option thank oppo,negative
fingerprint response fabulous amazing battery life day backup camera quality good,neutral
nice good product,neutral
amazing feature phone oppo good brand india,neutral
quality good phone littleproblem battery backup,very negative
nice product range,very negative
best phone received good condition working well,positive
camera result good,neutral
good phone ear phone missing box would request kindly provide,very negative
earphone box rest awesomecamera good average,neutral
battery life good fingerprint sensor fast camera pixel great,neutral
every thing ok product must fast charger place normal charger,very negative
value product battery life last long,very negative
good phone,very negative
gb ram device work well recommend device gamer,neutral
phone range price awesome looking great,very negative
recieced defect product display pastr visible wiered,very negative
hang,very negative
battery life,neutral
nice mobile price,neutral
service awesome thank amazon suggesting oppo a5 awesome choice,neutral
awesome performanceheadphones really amazingcamera good kkktotally good,very negative
nice phone slow chargingand thing goodgo itrecommend,very negative
hand feel good looking crazy camera also good,very negative
nice,neutral
best,positive
fingerprint reader good quality battery life good camera quality good,neutral
terrific stereo speaker good quality sound good mobile,neutral
best product lot feature super oppo available worthy large screen,neutral
really like price affordable good quality price camera good,very negative
camera quality bad,very negative
much noise photo 4g work fine always loos connection setting keep 4g always,neutral
phone best problem face new user product value money,very negative
product superb bought son amazing,neutral
super,neutral
expect fast charging taking 3h5min full charge battery backup good,neutral
charging slow pay much better phone,very negative
bad camera quality,very negative
hi team issue phone face lockfinger printdisplay qualitie,very negative
price camera good clearty,neutral
nice mobile heating issueand good battery backupwell sound awesome,neutral
cost high,neutral
good phone huge screen cover wide angle high quality performance,neutral
good product happy,neutral
good quality product,very negative
excellent infact liked much bought one fr nephew,neutral
super,neutral
perfect product price segment service amazon delivery partner superb,very negative
good mobile reasonable price,neutral
price fingerprint reader battery life camera quality perfectly good,neutral
good feature fair price,neutral
apart camera quality everything nice poor camera quality design near premium,neutral
nice phone great camera great feature go,neutral
best,positive
product good handfree missing box,very negative
good design battery also good important price also low,neutral
good,neutral
imei number shown mobile different mentioned packet kindly change product,very negative
looking wise fine selfie camera quality bad also battery life average,neutral
product ok,very negative
phone looking awesome,very negative
ok,negative
waisteg mony camera quality bad,very negative
nice mobileprosdisplaybatteryspeakersone thing sure go,very negative
fingerprint well like battery backup device camera quality like average,neutral
phone good phone charger type c fast charging weak point phone,very negative
excellent product reasonable price thanks amazon oppo seller time delivery,very negative
everything perfect,very negative
value money,very negative
gifted,neutral
high quality product working smooth,very negative
write review use phone one week best battery backuo real clear camera,neutral
battery performance better camera quality avrege,neutral
awesome phone price range come brand oppo happy phone,very negative
good one,very negative
hang pic,very negative
camera quality goodbty life betterbut experience ie good,neutral
got reasonable price old phone hazzle free exchange procedure thank u amazon,neutral
worst camera clarity waste money kindly recommend anyone,
nice phone,neutral
best quality phone battery better oppo phone,very negative
good product launched oppo good service amagon,neutral
heating problem charging time,very negative
best processor price face unlock care camera go,negative
nice phone,neutral
nice phone look great worth money,neutral
going battery overall good experience phone,neutral
earphone given description item app clearly written headset given,very negative
phone good camera quality okay battery life good,neutral
head phone gorilla glass gardmissing item,very negative
oppo a5 best mobile seriesit good lookcamera quality also good,neutral
good,neutral
camera battery life good infrared red support tv remote,neutral
good deal price slab little bulky,neutral
nice toch fingerprint battery life good camera quality goodthank u amazing,neutral
display light blinking without touch think divice problem,very negative
product beautiful quality good camera processor everything good,neutral
superb shown pic think buy,very negative
osm camera front camera much good rear,neutral
got headphone box youtube video showing headphone box,neutral
front camara quality poor phone everything ok,negative
nice phone well done oppo,very negative
camera quality good battery ok overall mobile good price worthy,neutral
budget phone,very negative
superb phone budget like camera good battery charging also fast overall good phone,neutral
good mobile,neutral
best smartphone,positive
reviewing give ture analysis shortly,neutral
good mobile sd665 fast use,neutral
average camara battery backup good,neutral
love product good budget phone good feel hand overall performance good,neutral
front camera good video call happy,neutral
go mobile work like charm kudos design,neutral
good product change return mobile oppo best mobile phone,very negative
headset mentioned accessory list supplied,neutral
rear camera fine front camera expectation price hang touch mark battery life good,neutral
mast phone,very negative
good,neutral
good battery life slow chargingnot heating problem,neutral
headset given buy like 1000rs mobile also getting headset worst nd bad brand nd quality dont buy,very negative
nice build display full hd expecting android update,neutral
mobile phone croche ready return request language problem tamil language contact,very negative
excellent,positive
seriously dressing awsom value money mobile,very negative
bhogas,very negative
phone battery poor cemra poor sed sed phone buy one,very negative
good product price delivery fast camera awesome clarity best segment,neutral
good product good bajet,very negative
good quality value money lowest cost better mobile,very negative
decent mobile good battery battery backup,neutral
nice one,neutral
nice one,neutral
good,neutral
waste money battery drainprocessor suitable model performance,very negative
camera quality excellent 5000mah battery nice fingerprint reader work well done,neutral
good mobile price,neutral
good phone fast delivery,neutral
excellent,positive
camera quality good battery backup also display nice dazzling white colour attractive,neutral
touch line,neutral
much disappointed earphone included box,very negative
fingerprint fast camera quality awesome good battery life nice,neutral
best looking camera smartphone battery life good expected,neutral
fine low range better redmi,very negative
gaming experience good quality camera good battery life pretty well,neutral
fingerprint reader good responsebattery life goodcamera quality bad,very negative
yh prddktt mjh bht acch lg aur m bht khsh hljvv fcr lmb bttr bkap,very negative
battery performance badthe fingerprint goodthe camera better,neutral
processor b better,very negative
recommend purchase item,neutral
camera good battery good overall performance also okay screen lock working properly otherwise good,neutral
earphone missingno earphone inside box,neutral
camara quality goodis se accha mera old phone oppo a37f de raha tha camera qualitybettery good,neutral
screen quality pathetic watch video long time,
good phone budgettwo day battery life,neutral
look beautiful camera quantity good battery life good,neutral
good phone 11k camera quality really superb battery backup,very negative
heating mobile,very negative
heavyweight nd lower picture quality blurry picture satisfied,neutral
best mobile,positive
phone look like nice camera quality good nd better also good,neutral
amazing mobile oppo love,positive
performance battery life awesome,neutral
value many,neutral
display smooththe good thing screen guard already placed display,very negative
good,neutral
good,neutral
good,neutral
good product reasonable price,very negative
love,neutral
osmm,very negative
decent phone budget,neutral
,very negative
superb phone nice quality fingerprint sensor excellent,neutral
nice mobile,neutral
good,neutral
ultra night mode function phone advertisment say built,very negative
processor hang diplay seems light uoto mark,neutral
worth moneyworth qualitybut chinese product,neutral
bad,
phone good function also good,neutral
phone working good wanna replace phone please get back money,very negative
good using internet frequently hang poor phone,very negative
calling screen light please fixed camera bad,neutral
highly recommended happy ur product thank much amazon,negative
bigger phone battery drain goodand performance poorwaste,very negative
every time screen shot disappear time,very negative
quality good found difficulty within month date purchase,neutral
display quality poor camera quality balance bettery sound really ossom,very negative
nice,neutral
made china otherwise phone superb,neutral
good camera battery backup good,neutral
nice quality performance good,neutral
battery backup jst awsm camera quality satisfied,negative
mobile heating charging making phone call prefer go option,very negative
camera quality poor poor poor hate oppo product,very negative
awesome mobile thanks amazon,very negative
camera mark battery life good price high category phone overall decent choice,neutral
good price,neutral
update software actual version,very negative
best,positive
ok,negative
camera department mark overall otherwise good phone,neutral
battery life draining fastly charging slowly phone soo good,neutral
battery life good camera nice phone recommend buy,neutral
awesome like mobile much hope worth money,very negative
nice phone thick mobile phone,neutral
get earphone box youtube video show ull get earphone,neutral
head set box,neutral
overall u feel gd,very negative
good phone nice battery life camera quality average everything good,neutral
overall product good headphone mentioned preduct discretion available box,neutral
good mobile price camera good expectation,neutral
mobile budget friendly mobile good processor battery life,negative
camera quality lowoverall performance better,neutral
good,neutral
camera averagebattery impressive fingerprint sensor good,neutral
feature really vast battery charge soon even drain slowly,very negative
display good fingerprint scanner work well camera good much,neutral
nice,neutral
everything happens one touch battery backup superb almost n half day camera quality perfect 48mp,neutral
good,neutral
amazing,positive
na,negative
good phone,very negative
unable open word document supporting feature volume effective,neutral
good speed smooth,neutral
nice quick,neutral
overall phone good bit bad battery backup,very negative
item found defectivedisplay issue,neutral
good product battery life amazing camara good,neutral
camera quality nice battery life long time hang problem,negative
sound quality camera ok mobile look super dislike fast charging,neutral
front camera bit earphone give rest love phone,neutral
product amazon phone performance bad,very negative
get earphone box though written box get earphone,neutral
recived phone today got ear phone box,neutral
plz help always echo conversation one another,negative
good impressing phone like thank amazon,very negative
average,neutral
smooth geymingbest quality dysplagood performancegood delivery,very negative
good value money excellent battery life decent camera,neutral
average phone,neutral
good product got rs4640 exchange,neutral
good product issue till,very negative
good,neutral
good waste money hanging moblie,very negative
good product,very negative
v nice a5 best mobile totally super,neutral
rear camera colour quality macro view need correct software update,very negative
great camera batterylife fingerprint sensor give u extra security,neutral
headphone mentioned list available phone box,neutral
good product,very negative
available colour,neutral
best segment best basic user,positive
value money excellent genuine mobile,positive
super product fallen love,neutral
awsome phone tempered headphone also available,neutral
battery life upto standard match specification provided regarding battery opinion,neutral
good mobile,neutral
phone average range amazon delivery wrost waste,very negative
everything great camera flashlight quality poor,neutral
mobile properly accessed network internet running,very negative
product ok battery charging slow bad,very negative
camera nice enough selfie sawesome,neutral
worth working since one month,neutral
good,neutral
earphone include box,neutral
good product,very negative
good,neutral
nice product,very negative
good price fasted dilivery,neutral
good phone,very negative
good phone,very negative
battery back bad charging capability poor,
overall good phone camera quality mark,neutral
nice mobile value money sound quality nice,neutral
good product good power backup charge hour run easily cam also good,neutral
wow excellent super excellent,positive
look design processer battery goodbut display average,neutral
using month phone super samsung hanging problem go opoo,very negative
overall good phone price range,negative
excellent quality well packed,positive
good small budget phone,neutral
thing ok package contain earphone mentioned product description 3gb 64gb,very negative
okkk,very negative
excellent battery backup fingerprint good camara quality,neutral
sensor issuekeypad open every time call,very negative
worth product price camera quality satisfied,negative
poor camera quality horrible experience camera,
good performance good batteru backup nice product loved,neutral
item good box contains earphone c cable,neutral
grateful,neutral
really awesome camera good touch smooth,neutral
nice iam happy,neutral
screen turn black video calling replaced phone,very negative
good,neutral
best experience finger sencer,positive
headset found package promised,very negative
phone good poor camera quality battery life poor,negative
mentioned headset box given box good experience,neutral
product awesome best fastest delivery amazon thank,negative
finger reader good battery life good selfi camera good,neutral
except front camera good good buy rate,neutral
good product oppo,very negative
good,neutral
nice product oppo like,very negative
good quality,neutral
good,neutral
nice camera zoom nice performance goodi love,neutral
camera performance good,positive
overall average performance budget phone,neutral
camera quality good headset missing box imei number matching mobile,very negative
battery goodcamera quality lowthas dissapointed,very negative
black colour awesome fingerprint reader face unlock quick,very negative
dolby atmos default theatre experience sound beat studio so5,neutral
low camera quality purchase model,neutral
good quality working well display good battery good camera ok,neutral
bought good phonedelivery day,neutral
best phone range battery good camera good,neutral
superb bugged phone price dual speaker,very negative
good mobile rounder mid range price best mobile,negative
best product,positive
headphone receive mobile phone please ensure headphone,very negative
verry good product setisfid product thank,very negative
nice sound effect camera good headphone nice,neutral
good product use full mobile economically viable product,very negative
nice product budget awesome product,very negative
good value money price point bought r k,very negative
talking another person heating phone battery also bad,very negative
awsome mobil,very negative
gifted father loved,neutral
nice,neutral
cmera good like normal charging late,neutral
nice product,very negative
good mid ranger,very negative
one thing mention got headset within box phone okay,neutral
better,very negative
camera quality good,neutral
amazing phone low cost touch smooth,neutral
best price range rear camera average,negative
charger phone working plese change,very negative
nice,neutral
good,neutral
like,neutral
slitly lagining bacaus ram otherwise product good,very negative
value money price range super phone camera okk,negative
mobile quality good mobile slow,neutral
fantastic mobile beautiful battery powerful thanks oppo,positive
slow charging battery draining issue,neutral
good product bought mom,very negative
nice operation smooth worth price,neutral
good luck,neutral
